1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
2, 5, 桐生 メイ, きりゅう めい, 桐生 メイ, N, 依存, 元気, 敵, 攻DOWN, 小, 私のリングにダンクスマッシュ, 探索, 4, 最初から, 2014-11-05, 20-2
3, 9, 雨井 里奈, あまい りな, 雨井 里奈, N, 依存, ドジ, 自, 防UP, 小, 夢見る里奈の王子様, 探索, 4, 最初から, 2014-11-05, 20-3
4, 13, 朝日 纏, あさひ まとい, 朝日 纏, N, 依存, 淫乱, 敵, 攻DOWN, 小, フルーツミックスおまんまん, 探索, 4, 最初から, 2014-11-05, 20-4
5, 17, 戸祀 小桃, とまつり こもも, 戸祀 小桃, N, 依存, ツンデレ, 自, 攻UP, 小, 童顔コンプレックス, 探索, 4, 最初から, 2014-11-05, 20-5
6, 21, 黒井 久留美, くろい くるみ, 黒井 久留美, N, 執着, 陰湿, 敵, 防DOWN, 小, 拙者のメガネは伊達じゃない！, 探索, 4, 最初から, 2014-11-05, 20-6
7, 25, 星野 麻衣美, ほしの まいみ, 星野 麻衣美, N, 執着, 活発, 敵, 防DOWN, 小, デッカくないでしゅ！, 探索, 4, 最初から, 2014-11-05, 20-7
8, 29, 小坂 千代, こさか ちよ, 小坂 千代, N, 執着, 清楚, 自, 攻UP, 小, 性剣マイサンソード, 探索, 4, 最初から, 2014-11-05, 20-8
9, 33, 木宮 辰実, きみや たつみ, 木宮 辰実, N, 執着, 元気, 自, 攻UP, 小, タッチミー・ドキュメント, 探索, 4, 最初から, 2014-11-05, 20-9
10, 37, 暁 春菜, あかつき はるな, 暁 春菜, N, 束縛, 活発, 敵, 攻DOWN, 小, おいなりポゼッション, 探索, 4, 最初から, 2014-11-05, 20-10
11, 41, 井野 梢, いの こずえ, 井野 梢, N, 束縛, バカ, 敵, 防DOWN, 小, 中に熱いのホールインワン, 探索, 4, 最初から, 2014-11-05, 20-11
12, 45, 倉橋 祐未, くらはし ゆみ, 倉橋 祐未, N, 束縛, 清楚, 自, 攻UP, 小, 邪魔するハートを射抜きます, 探索, 4, 最初から, 2014-11-05, 20-12
13, 49, 琴沢 綾乃, ことさわ あやの, 琴沢 綾乃, N, 束縛, 癒やし, 敵, 防DOWN, 小, M得ドSマッサージ, 探索, 4, 最初から, 2014-11-05, 20-13
14, 53, 防人 兵華, さきもり ひょうか, 防人 兵華, N, 束縛, 凶暴, 自, 狂乱, 小, ご褒美下さい♪ワンワンワン, 探索, 4, 最初から, 2014-11-05, 20-14
15, 57, 政金 芙蓉, まさかね ふよう, 政金 芙蓉, N, 束縛, 狡猾, 自, 狡猾, 小, 商談成立ウチのもの♪, 探索, 4, 最初から, 2014-11-05, 20-15
16, 61, 山中 沙織, やまなか さおり, 山中 沙織, N, 狂気, 変態, 自, 防UP, 小, アブノーマルな私をみて！, 探索, 4, 最初から, 2014-11-05, 20-16
17, 65, 井手迫 杏奈, いでさこ あんな, 井手迫 杏奈, N, 狂気, 陰湿, 自, 防UP, 小, 不加虐体質もっとしてぇ, 探索, 4, 最初から, 2014-11-05, 20-17
18, 69, 泡波 水緒, あわなみ みお, 泡波 水緒, N, 狂気, 変態, 自, 狂乱, 小, 病んでれリザルト, 探索, 4, 最初から, 2014-11-05, 20-18
19, 73, 里中 秋穂, さとなか あきほ, 里中 秋穂, N, 狂気, 変態, 自, 防UP, 小, 教えて！百八手, 探索, 4, 最初から, 2014-11-05, 20-19
20, 77, 姫路 時子, ひめじ ときこ, 姫路 時子, N, 依存, ツンデレ, 自, 攻UP, 小, めちゃ追いスプリンター, 探索, 4, 最初から, 2014-11-05, 20-20
21, 81, 西山 乃絵, にしやま のえ, 西山 乃絵, N, 依存, ドジ, 自, 防UP, 小, 書記ガール・欲しがーる, 探索, 4, 最初から, 2014-11-05, 20-21
22, 85, 井上 雫, いのうえ しずく, 井上 雫, N, 依存, 狡猾, 敵, 防DOWN, 小, 君の推薦枠, 探索, 4, 最初から, 2014-11-05, 20-22
23, 89, 赤穂 菜々, あこう なな, 赤穂 菜々, N, 依存, バカ, 敵, 攻DOWN, 小, 芸能人は依存系, 探索, 4, 最初から, 2014-11-05, 20-23
24, 93, 山岸 紅葉, やまぎし もみじ, 山岸 紅葉, N, 執着, 甘えん坊, 自, 攻UP, 小, マタタビハッピー, 探索, 4, 最初から, 2014-11-05, 20-24
25, 97, 西島 夕日, にしじま ゆうひ, 西島 夕日, N, 執着, 腹黒, 敵, 攻DOWN, 小, マインド経営者, 探索, 4, 最初から, 2014-11-05, 20-25
26, 101, 木野 彩実, きの あやみ, 木野 彩実, N, 束縛, 清楚, 敵, 防DOWN, 小, お漏らし飲ませたガール, 探索, 4, 最初から, 2014-11-05, 20-26
27, 105, 双蓮ニーナ, そうれん にーな, 双蓮ニーナ, N, 束縛, 甘えん坊, 自, 攻UP, 小, クレイジーマイクロフォン, 探索, 4, 最初から, 2014-11-05, 20-27
28, 109, 宇野 優, うの ゆう, 宇野 優, N, 束縛, 腹黒, 敵, 攻DOWN, 小, 後輩と掛ける、その心, 探索, 4, 最初から, 2014-11-05, 20-28
29, 113, 夕成 小夜, ゆうなり さよ, 夕成 小夜, N, 狂気, 癒やし, 自, 攻UP, 小, チンします？マンします？, 探索, 4, 最初から, 2014-11-05, 20-29
30, 117, 縞坂 智恵菜, しまさか ちえみ, 縞坂 智恵菜, N, 狂気, 淫乱, 敵, 攻DOWN, 小, 離さない私だけのロミオ, 探索, 4, 最初から, 2014-11-05, 20-30
31, 121, 家鳴 小鈴, いえなり こすず, 家鳴 小鈴, R, 依存, 甘えん坊, 敵, 防DOWN, 中, 大好きお兄ちゃん, 探索, 4, 最初から, 2014-11-05, 20-31
32, 125, 天野 息吹, あまの いぶき, 天野 息吹, R, 依存, 淫乱, 自, 防UP, 中, 世話焼き共依存, 探索, 4, 最初から, 2014-11-05, 20-32
33, 129, 早川 光, はやかわ ひかり, 早川 光, R, 束縛, ツンデレ, 自, 狂乱, 小, 風紀委員の制裁タイム, 探索, 4, 最初から, 2014-11-05, 20-33
34, 133, 南雲 のどか, なぐも のどか, 南雲 のどか, R, 狂気, 活発, 自, 攻UP, 中, スク水ウェーブ, 探索, 4, 最初から, 2014-11-05, 20-34
35, 137, 龍浪 杏子, たつなみ あんず, 龍浪 杏子, R, 束縛, 乱暴, 敵, 攻DOWN, 中, 愛しき暴力ストライク, 探索, 4, 最初から, 2014-11-05, 20-35
36, 141, 風間 弥生, かざま やよい, 風間 弥生, R, 狂気, 活発, 敵全, 防DOWN, 小, 朝まで性交トレーニング, 探索, 4, 最初から, 2014-11-05, 20-36
37, 145, 柏木 縁, かしわぎ ゆかり, 柏木 縁, R, 狂気, 陰湿, 敵, 攻DOWN, 中, 秘密のサンドバック, 探索, 4, 最初から, 2014-11-05, 20-37
38, 149, 柚子峰 色羽, ゆずみね いろは, 柚子峰 色羽, R, 束縛, 癒やし, 敵, 防DOWN, 中, 寂しがり屋のライフライン, 探索, 4, 最初から, 2014-11-05, 20-38
39, 153, 華野 朱香里, はなの あかり, 華野 朱香里, R, 執着, 狡猾, 自, 狡猾, 中, 妖艶スクールマスター, 探索, 4, 最初から, 2014-11-05, 20-39
40, 157, 蒼龍寺 怜, そうりゅうじ れい, 蒼龍寺 怜, R, 依存, 元気, 敵, 攻DOWN, 中, 白い墨汁革命, 探索, 4, 最初から, 2014-11-05, 20-40
41, 161, 結城 愛萌理, ゆうき あめり, 結城 愛萌理, R, 狂気, バカ, 自, 防UP, 中, 毎日洪水エロキャスター, 探索, 4, 最初から, 2014-11-05, 20-41
42, 165, 星河 泉, ほしかわ いずみ, 星河 泉, R, 依存, 元気, 敵, 攻DOWN, 中, 恋するキュンキュン湿布, 探索, 4, 最初から, 2014-11-05, 20-42
43, 169, 葛切 巴, くずきり ともえ, 葛切 巴, R, 執着, 淫乱, 自, 攻UP, 中, 下着屋姉さんの実力, 探索, 4, 最初から, 2014-11-05, 20-43
44, 173, 七宮 葉月, ななみや はづき, 七宮 葉月, R, 執着, ドジ, 敵, 防DOWN, 中, ブラコンシスターラブ, 探索, 4, 最初から, 2014-11-05, 20-44
45, 177, 伏田 乃々華, ふしだ ののか, 伏田 乃々華, R, 束縛, 腹黒, 全, 攻UP, 中, ラブリーセックスアイドル, 探索, 4, 最初から, 2014-11-05, 20-45
46, 181, 香月 満里奈, こうづき まりな, 香月 満里奈, R, 束縛, ドジ, 自, 攻UP, 中, おっぱいシャウト, 探索, 4, 最初から, 2014-11-05, 20-46
47, 185, 鳴神 真理, なるかみ まり, 鳴神 真理, R, 執着, 清楚, 自, 防UP, 中, 未知の道の満ち, 探索, 4, 最初から, 2014-11-05, 20-47
48, 189, 桐皇 亞沙樹, とうおう あさき, 桐皇 亞沙樹, R, 狂気, 狡猾, 自, 狡猾, 中, あなたは私のオナペット, 探索, 4, 最初から, 2014-11-05, 20-48
49, 193, 仁科 香澄, にしな かすみ, 仁科 香澄, R, 狂気, 凶暴, 自, 狂乱, 大, 病的なほどの愛情, 特別報酬, 4, 最初から, 2014-11-05, 20-49
50, 197, 【ﾋﾟｺﾊﾝ】仁科 香澄, ぴこはん にしな かすみ, 仁科 香澄, R, 狂気, 乱暴, 敵, 防DOWN, 中, ピコピコはんでぃんぐ♪, 特別報酬, 4, 最初から, 2014-11-05, 20-50
51, 201, 苺原 陽那, いちはら ひな, 苺原 陽那, R, 束縛, 甘えん坊, 敵, 防DOWN, 中, 小悪魔♪かまってニャン, イベント, 4, 香澄ちゃん怒りのワスレールライト, 2014-11-06, 20-51
